DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[° 
2018-07-14 16:43:15            2.2795        121.6985            26.4 
2018-07-14 16:43:30            2.6895         134.398            26.8 
2018-07-14 16:43:45            2.9095         108.999         26.4992 
2018-07-14 16:44:00            2.9495         153.098            26.8 
2018-07-14 16:44:15            2.9895         157.498         25.8992 
2018-07-14 16:44:30            3.2695         149.897         26.6992 
2018-07-14 16:44:45               2.5        154.9955            26.2 
2018-07-14 16:45:00            2.7795         156.299            26.4 
2018-07-14 16:45:15            2.6695        151.4975            26.2 
2018-07-14 16:45:30            2.8895         156.299            26.4 
2018-07-14 16:45:45            2.5795         156.596              26 
2018-07-14 16:46:00            3.0095        151.5965         25.8992 
2018-07-14 16:46:15            2.5195        155.7985         26.0992 
2018-07-14 16:46:30            2.2695        161.4965              26 
2018-07-14 16:46:45            2.4595        152.4985            26.2 
2018-07-14 16:47:00            2.3395         156.695            26.2 
2018-07-14 16:47:15            2.4195        140.5965            26.2 
2018-07-14 16:47:30            2.4095        139.2985         26.2992 
2018-07-14 16:47:45            1.7995         160.996            26.6 
2018-07-14 16:48:00               2.5        154.8965         26.2992 
2018-07-14 16:48:15            2.1795         118.899            26.6 
2018-07-14 16:48:30            2.9195        136.0975            26.8 
2018-07-14 16:48:45            2.9795        131.4995            26.6 
2018-07-14 16:49:00            2.4795        128.3975            26.4 
2018-07-14 16:49:15            2.7195         142.296         26.6992 
2018-07-14 16:49:30            2.7895         156.596            26.4 
2018-07-14 16:49:45            2.0595        145.7995            26.4 
2018-07-14 16:50:00            2.5595        155.6995            26.4 
2018-07-14 16:50:15               2.5         146.795            26.6 
2018-07-14 16:50:30            2.5595         158.895         26.4992 
2018-07-14 16:50:45            2.5595        145.8985            26.2 
2018-07-14 16:51:00            2.4095           139.7            26.2 
2018-07-14 16:51:15            2.3995           147.4         26.0992 
2018-07-14 16:51:30              2.26        138.3965            26.2 
2018-07-14 16:51:45            2.0695         137.599         26.2992 
2018-07-14 16:52:00            1.6795        121.8965              27 
2018-07-14 16:52:15            1.4695         130.999         27.0992 
2018-07-14 16:52:30            2.7995         145.299            26.6 
2018-07-14 16:52:45            2.9295         146.597         26.4992 
2018-07-14 16:53:00            2.4695        146.0965            26.4 
2018-07-14 16:53:15               2.5        149.3965         26.4992 
2018-07-14 16:53:30            2.7595         148.896         27.0992 
2018-07-14 16:53:45            2.1495         148.797         27.0992 
2018-07-14 16:54:00            3.1095         140.998            26.6 
2018-07-14 16:54:15            3.0095        139.3975            26.6 
2018-07-14 16:54:30            2.8195         160.996         27.2992 
2018-07-14 16:54:45            2.9395           136.4         26.6992 
