DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d   3._Air_T_[°C] 
2018-07-14 17:15:15            6.1295          98.296              27 
2018-07-14 17:15:30            5.2495         101.596            26.6 
2018-07-14 17:15:45            5.2695        107.6955            26.2 
2018-07-14 17:16:00            5.5695         104.698            26.2 
2018-07-14 17:16:15          6.759501        112.7995         26.2992 
2018-07-14 17:16:30            5.2695        110.5995            26.4 
2018-07-14 17:16:45          6.259501        103.0975         25.6992 
2018-07-14 17:17:00            7.1095         107.096              26 
2018-07-14 17:17:15          7.739501        104.1975            25.8 
2018-07-14 17:17:30            7.2095           102.3            25.8 
2018-07-14 17:17:45            7.0995        108.8945            26.2 
2018-07-14 17:18:00          6.759501         102.696         25.8992 
2018-07-14 17:18:15            6.6095        103.2955         26.0992 
2018-07-14 17:18:30          6.739501         104.797            25.8 
2018-07-14 17:18:45            6.2495             110            26.2 
2018-07-14 17:19:00            5.8595         92.9995         26.6992 
2018-07-14 17:19:15            6.1795         107.096            26.4 
2018-07-14 17:19:30            6.9395              99         26.8992 
2018-07-14 17:19:45          7.199501          93.995         25.6992 
2018-07-14 17:20:00            6.8095          94.996         25.8992 
2018-07-14 17:20:15              8.25            96.8         25.4992 
2018-07-14 17:20:30            6.5195         96.6955              26 
2018-07-14 17:20:45          8.179501         100.199         25.5984 
2018-07-14 17:21:00            7.0995         92.3945              26 
2018-07-14 17:21:15            5.7495          83.897            26.2 
2018-07-14 17:21:30          8.609501          93.599         25.6992 
2018-07-14 17:21:45            8.2395          93.995         25.6992 
2018-07-14 17:22:00          7.989501          94.798         25.5984 
2018-07-14 17:22:15          8.899501         102.795         25.8992 
2018-07-14 17:22:30            7.7895         110.099            25.8 
2018-07-14 17:22:45            7.6895          93.599         25.4992 
2018-07-14 17:23:00            8.6695         99.8965            25.8 
2018-07-14 17:23:15            7.7095         93.3955            26.2 
2018-07-14 17:23:30            6.6395          93.995         25.6992 
2018-07-14 17:23:45          6.259501         94.4955              26 
2018-07-14 17:24:00            7.1595          98.197         25.4992 
2018-07-14 17:24:15            5.7995          90.695         25.5984 
2018-07-14 17:24:30            7.0595          93.599         25.4992 
2018-07-14 17:24:45            6.6495         95.1995         25.6992 
2018-07-14 17:25:00            6.1195        108.3995              26 
2018-07-14 17:25:15            6.3995        103.9995              26 
2018-07-14 17:25:30            6.8295        104.1975         25.5984 
2018-07-14 17:25:45            6.7795         95.1995            25.8 
2018-07-14 17:26:00            5.3995        106.3975         26.6992 
2018-07-14 17:26:15            6.2795          97.295         26.0992 
