DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[° 
2018-07-16 08:40:00            1.4995        154.6985              17 
2018-07-16 08:40:15            1.7295        173.2995            16.8 
2018-07-16 08:40:30            1.7795         159.797         16.6992 
2018-07-16 08:40:45            1.3895        162.7945         16.6992 
2018-07-16 08:41:00            1.7095         169.499         16.6992 
2018-07-16 08:41:15            1.7195         171.897         16.6992 
2018-07-16 08:41:30            1.4795        164.5985         16.6992 
2018-07-16 08:41:45            1.3495        173.4975            16.8 
2018-07-16 08:42:00            1.0495        161.1995         16.6992 
2018-07-16 08:42:15         0.8995001        162.7945            16.8 
2018-07-16 08:42:30            1.0695        164.4995         16.8992 
2018-07-16 08:42:45            0.9295         160.996         16.8992 
2018-07-16 08:43:00            1.0295         129.899         16.8992 
2018-07-16 08:43:15            1.0895         129.096         16.8992 
2018-07-16 08:43:30            0.7795        114.2955         16.8992 
2018-07-16 08:43:45            0.8795         131.296            16.8 
2018-07-16 08:44:00            1.1795         108.999         17.5984 
2018-07-16 08:44:15         0.7895001         132.297         17.5984 
2018-07-16 08:44:30            1.1095        125.9995         16.8992 
2018-07-16 08:44:45            1.3395        121.7975         17.0992 
2018-07-16 08:45:00            0.7095         97.8945         16.8992 
2018-07-16 08:45:15            0.5695        104.1975            17.2 
2018-07-16 08:45:30            0.8795         133.397         17.2992 
2018-07-16 08:45:45            0.9395        118.5965         17.2992 
2018-07-16 08:46:00            1.2295         140.195         17.0992 
2018-07-16 08:46:15            1.0295         163.097            17.2 
2018-07-16 08:46:30            0.7795        130.5975         17.2992 
2018-07-16 08:46:45            1.1895        140.6955            17.2 
2018-07-16 08:47:00            0.9895         134.497            17.2 
2018-07-16 08:47:15            1.1995         118.096         17.5984 
2018-07-16 08:47:30            1.4395             121              17 
2018-07-16 08:47:45            1.3695        131.7965            17.2 
2018-07-16 08:48:00            1.1095         127.996         17.2992 
2018-07-16 08:48:15            0.6595           159.5            17.2 
2018-07-16 08:48:30            0.6295        107.3985         17.5984 
2018-07-16 08:48:45               0.8         115.599         17.6992 
2018-07-16 08:49:00            1.0795         104.698         17.0992 
2018-07-16 08:49:15            1.2795        113.1955              17 
2018-07-16 08:49:30              0.85         108.999              17 
2018-07-16 08:49:45            1.1495         153.197         16.8992 
2018-07-16 08:50:00            1.0295         113.696         17.0992 
2018-07-16 08:50:15            1.0495        107.4975         17.0992 
2018-07-16 08:50:30            0.6595         105.897              17 
2018-07-16 08:50:45            1.0195           116.6         17.2992 
2018-07-16 08:51:00         0.7295001         104.599              17 
2018-07-16 08:51:15            0.9895         100.397         17.0992 
2018-07-16 08:51:30            1.0295         132.297              17 
2018-07-16 08:51:45            0.7595        119.3995              17 
2018-07-16 08:52:00              0.28         180.796            17.2 
2018-07-16 08:52:15            1.2995         195.899         17.0992 
2018-07-16 08:52:30              1.25        143.8965         17.0992 
2018-07-16 08:52:45            0.8795        141.3995         17.0992 
2018-07-16 08:53:00            1.0195         144.397         17.0992 
2018-07-16 08:53:15            0.7095         129.998            17.2 
2018-07-16 08:53:30              0.85         147.598            17.2 
2018-07-16 08:53:45               0.6        156.7995         17.2992 
2018-07-16 08:54:00         0.8595001         97.6965            17.4 
2018-07-16 08:54:15            1.3995           101.2         16.8992 
2018-07-16 08:54:30            1.4095         111.199         16.8992 
2018-07-16 08:54:45            1.2095         124.795              17 
2018-07-16 08:55:00            1.1595         111.298              17 
2018-07-16 08:55:15            1.2195         128.997            17.2 
2018-07-16 08:55:30            1.2195         133.199         17.5984 
2018-07-16 08:55:45            1.2195        110.8965              17 
2018-07-16 08:56:00            1.4595         153.197         17.2992 
2018-07-16 08:56:15            1.3995         137.896         17.2992 
2018-07-16 08:56:30               1.6         171.699         17.0992 
2018-07-16 08:56:45            1.4095         145.596            17.2 
2018-07-16 08:57:00            1.1095         113.696         17.0992 
2018-07-16 08:57:15            1.0695        154.9955         17.0992 
2018-07-16 08:57:30            1.2395        176.8965         17.0992 
2018-07-16 08:57:45            0.9895        184.7945         17.0992 
2018-07-16 08:58:00            1.5095        177.6995         16.8992 
2018-07-16 08:58:15            1.4995             176            16.8 
2018-07-16 08:58:30            1.6195        171.3965            16.8 
2018-07-16 08:58:45            1.3795        177.0945            16.8 
2018-07-16 08:59:00            1.2895           188.1         16.8992 
2018-07-16 08:59:15            1.1095        156.7995         17.2992 
2018-07-16 08:59:30            1.5395        155.9965         17.2992 
2018-07-16 08:59:45            1.4095         164.296         16.8992 
2018-07-16 09:00:00            1.5195         175.296            16.8 
2018-07-16 09:00:15            1.0395         180.796              17 
2018-07-16 09:00:30            1.5095         185.295              17 
2018-07-16 09:00:45            1.3095        183.4965         17.0992 
2018-07-16 09:01:00            1.3195         180.697            16.8 
2018-07-16 09:01:15            1.0495         183.095            16.8 
2018-07-16 09:01:30            0.8695         183.095         17.0992 
2018-07-16 09:01:45            0.9995        179.8995         16.8992 
2018-07-16 09:02:00            0.7195         195.899              17 
2018-07-16 09:02:15            0.7795         190.696              17 
2018-07-16 09:02:30            0.5395         192.599            17.2 
2018-07-16 09:02:45            0.4795         180.598            17.2 
2018-07-16 09:03:00              0.56         155.397         17.2992 
2018-07-16 09:03:15            0.4995         200.299         17.2992 
2018-07-16 09:03:30            0.6395         174.196            17.2 
2018-07-16 09:03:45            0.8795        165.6985            17.2 
2018-07-16 09:04:00         0.9095001         177.496            17.2 
2018-07-16 09:04:15            0.4595        195.6955            17.2 
2018-07-16 09:04:30            0.8795         133.298         17.2992 
2018-07-16 09:04:45            1.1795        136.1965         17.2992 
2018-07-16 09:05:00            1.2295         162.195         17.0992 
2018-07-16 09:05:15            0.8795        173.6955         17.0992 
2018-07-16 09:05:30            0.7095         206.195         17.2992 
2018-07-16 09:05:45            1.2295        190.9985         17.0992 
2018-07-16 09:06:00            1.4995         165.495         16.8992 
2018-07-16 09:06:15            1.0995        171.1985              17 
2018-07-16 09:06:30            1.4095        162.7945         16.8992 
2018-07-16 09:06:45            1.0895         147.499            17.2 
2018-07-16 09:07:00            1.3695        160.2975              17 
2018-07-16 09:07:15            1.2795         162.899         17.0992 
2018-07-16 09:07:30            1.2095         159.896         17.0992 
2018-07-16 09:07:45            1.2295        158.9995            17.2 
2018-07-16 09:08:00            1.0895        153.6975         17.2992 
2018-07-16 09:08:15            1.0395        159.2965         17.4992 
2018-07-16 09:08:30            1.0595        159.3955         17.0992 
2018-07-16 09:08:45            1.2695         162.899         17.0992 
2018-07-16 09:09:00            1.1095        160.0995         17.0992 
2018-07-16 09:09:15         0.9695001        158.0975         17.2992 
2018-07-16 09:09:30            1.1995        164.6975         17.2992 
2018-07-16 09:09:45         0.9595001        156.7995            17.4 
2018-07-16 09:10:00         0.7295001         165.297         17.6992 
2018-07-16 09:10:15            0.6895        175.6975            17.4 
2018-07-16 09:10:30            0.5095        163.3995         17.8992 
2018-07-16 09:10:45            0.3395         206.998         17.8992 
2018-07-16 09:11:00               0.4         214.599              18 
2018-07-16 09:11:15            0.4695        165.6985         18.0992 
2018-07-16 09:11:30            0.2495        149.3965            18.8 
2018-07-16 09:11:45               0.3        110.7975         18.6992 
2018-07-16 09:12:00            0.3695         98.7965            18.4 
2018-07-16 09:12:15            0.4495         93.2965            17.8 
2018-07-16 09:12:30            0.5695         85.6955         17.8992 
2018-07-16 09:12:45            0.6595         91.0965            17.8 
