DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[°  
2018-07-17 15:07:30            1.6995        205.3975            27.2 
2018-07-17 15:07:45            2.2995        198.9955         26.2992 
2018-07-17 15:08:00            2.0695         212.498         26.2992 
2018-07-17 15:08:15            1.7595        227.3975            26.2 
2018-07-17 15:08:30            1.9795         196.196         26.0992 
2018-07-17 15:08:45            1.5295        195.4975         26.2992 
2018-07-17 15:09:00            1.4395         209.495         26.4992 
2018-07-17 15:09:15            1.7195        204.0995         26.2992 
2018-07-17 15:09:30            1.9395        204.2975         26.0992 
2018-07-17 15:09:45            1.6195           204.6         26.2992 
2018-07-17 15:10:00            1.3195        199.8975         26.4992 
2018-07-17 15:10:15            1.6395         219.296         26.2992 
2018-07-17 15:10:30            1.3195        165.9955            26.6 
2018-07-17 15:10:45            1.1095         190.696         26.8992 
2018-07-17 15:11:00            1.0495        192.1975            26.8 
2018-07-17 15:11:15            1.9195        226.4955         26.6992 
2018-07-17 15:11:30               1.6        206.4975         26.6992 
2018-07-17 15:11:45            2.3795         222.596         26.8992 
2018-07-17 15:12:00            2.7395         196.999         25.8992 
2018-07-17 15:12:15            3.4295        198.6985            26.2 
2018-07-17 15:12:30            2.3295         232.199              26 
2018-07-17 15:12:45            3.0495        243.8975            25.8 
2018-07-17 15:13:00            1.8995        241.5985         26.0992 
2018-07-17 15:13:15            1.8295        215.2975              26 
2018-07-17 15:13:30            1.5895         200.596            26.4 
2018-07-17 15:13:45            1.0595        197.4995            26.6 
2018-07-17 15:14:00            1.3795        238.3975         26.4992 
2018-07-17 15:14:15            0.8095         215.996         26.4992 
2018-07-17 15:14:30            0.8895         204.897            26.4 
2018-07-17 15:14:45            1.2395        165.5995         26.4992 
2018-07-17 15:15:00            1.0395         190.498            26.6 
2018-07-17 15:15:15            0.9495        177.6995            26.6 
2018-07-17 15:15:30            1.1895         97.5975            26.4 
2018-07-17 15:15:45            1.0995         265.298         26.4992 
2018-07-17 15:16:00         0.8595001         271.898            26.4 
2018-07-17 15:16:15            0.6395         211.398         26.8992 
2018-07-17 15:16:30            0.6795         343.695         27.2992 
2018-07-17 15:16:45         0.9195001        299.0955            27.2 
2018-07-17 15:17:00               1.6           280.5         26.6992 
2018-07-17 15:17:15               0.8         228.096            27.2 
2018-07-17 15:17:30            1.3095        292.3965         26.8992 
2018-07-17 15:17:45         0.9095001        268.2955         27.2992 
2018-07-17 15:18:00            1.2595        240.3995         27.4992 
2018-07-17 15:18:15            1.6495         248.996            27.4 
2018-07-17 15:18:30            2.1195        282.3975         26.6992 
2018-07-17 15:18:45            2.4395        281.0995         26.0992 
2018-07-17 15:19:00            2.9595         255.497            26.4 
