DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[° 
2018-07-17 08:15:00            2.6295         284.999         13.4992 
2018-07-17 08:15:15            2.4895           289.3         13.4992 
2018-07-17 08:15:30            2.9295        281.0995         13.4992 
2018-07-17 08:15:45            2.5795        286.7975         13.4992 
2018-07-17 08:16:00            2.7895        284.6965         13.4992 
2018-07-17 08:16:15            2.7295        285.5985         13.4992 
2018-07-17 08:16:30            2.9695         284.097         13.4992 
2018-07-17 08:16:45            2.9195        283.6955         13.4992 
2018-07-17 08:17:00            2.7595        278.1955         13.4992 
2018-07-17 08:17:15            2.6795         280.896            13.6 
2018-07-17 08:17:30            2.8395        282.6945         13.4992 
2018-07-17 08:17:45            3.0995         282.095         13.4992 
2018-07-17 08:18:00            3.4695        279.0975         13.6992 
2018-07-17 08:18:15            2.8395         271.997            13.6 
2018-07-17 08:18:30            2.8595        278.9985         13.4992 
2018-07-17 08:18:45            3.0095        275.7975            13.6 
2018-07-17 08:19:00            2.9695         276.496            13.6 
2018-07-17 08:19:15            3.1395         278.795         13.4992 
2018-07-17 08:19:30            3.1595         274.098            13.6 
2018-07-17 08:19:45            2.9595        275.5995         13.4992 
2018-07-17 08:20:00            3.1995         279.697         13.4992 
2018-07-17 08:20:15               2.5        275.8965         13.6992 
2018-07-17 08:20:30            2.6895         270.897            13.6 
2018-07-17 08:20:45            3.1595         286.297            13.6 
2018-07-17 08:21:00            3.1695         285.197         13.6992 
2018-07-17 08:21:15            2.8695         278.498         13.6992 
2018-07-17 08:21:30            2.0795         273.196              14 
2018-07-17 08:21:45            3.1995         282.997         13.4992 
2018-07-17 08:22:00            3.0895        285.6975            13.6 
2018-07-17 08:22:15            3.2295        278.1955            13.8 
2018-07-17 08:22:30            3.3595        282.6945         13.6992 
2018-07-17 08:22:45            3.2295         280.599         13.6992 
2018-07-17 08:23:00            2.9595         267.795            13.8 
2018-07-17 08:23:15            3.1295         277.398         13.6992 
2018-07-17 08:23:30            2.9495         286.396         13.6992 
2018-07-17 08:23:45            3.0595         279.895            13.6 
2018-07-17 08:24:00            3.2395        281.3965         13.6992 
2018-07-17 08:24:15            2.8595         283.195         13.6992 
2018-07-17 08:24:30            2.7195         276.595            13.8 
2018-07-17 08:24:45            2.8095        297.7975            13.8 
2018-07-17 08:25:00            3.1295         288.299         13.6992 
2018-07-17 08:25:15            3.1995         285.197         13.6992 
2018-07-17 08:25:30            3.0495        277.8985         13.8992 
2018-07-17 08:25:45            2.6895        277.0955              14 
2018-07-17 08:26:00            3.2195         286.396         13.8992 
2018-07-17 08:26:15            3.0195         285.197            13.8 
2018-07-17 08:26:30            2.8195         284.196            13.8 
2018-07-17 08:26:45            2.9995         284.999            13.8 
2018-07-17 08:27:00            2.9095         295.999         13.8992 
2018-07-17 08:27:15            3.3395         284.097            13.8 
2018-07-17 08:27:30            3.1295        286.7975            13.8 
2018-07-17 08:27:45            3.0795         288.695         13.8992 
2018-07-17 08:28:00            3.0795         282.898            13.8 
2018-07-17 08:28:15            3.2195         288.398         13.8992 
2018-07-17 08:28:30            2.8695         280.698              14 
2018-07-17 08:28:45            3.2695         289.597         13.8992 
2018-07-17 08:29:00            3.2695        286.7975            13.8 
2018-07-17 08:29:15            3.4095         287.199            13.8 
2018-07-17 08:29:30            3.3395        285.8955         13.8992 
2018-07-17 08:29:45            3.3595         287.595         13.8992 
2018-07-17 08:30:00            3.4195        285.8955            13.8 
2018-07-17 08:30:15            3.3795         286.495         13.8992 
2018-07-17 08:30:30            3.2495         284.097         13.8992 
2018-07-17 08:30:45            3.3495        283.6955         13.8992 
2018-07-17 08:31:00            3.0695         283.899         13.8992 
2018-07-17 08:31:15            3.0095         281.798              14 
2018-07-17 08:31:30            3.4795         283.899              14 
2018-07-17 08:31:45            3.1195         284.295         13.8992 
2018-07-17 08:32:00            3.1695        292.5945         14.0992 
2018-07-17 08:32:15            3.0095         283.899              14 
2018-07-17 08:32:30            3.3295        303.2975              14 
2018-07-17 08:32:45            3.8995           289.3         13.8992 
2018-07-17 08:33:00            3.2395         296.296         14.0992 
2018-07-17 08:33:15            3.6895        287.8975         13.8992 
2018-07-17 08:33:30            3.6495         284.196              14 
2018-07-17 08:33:45            3.8195           283.8         13.8992 
2018-07-17 08:34:00            3.2995         288.596              14 
2018-07-17 08:34:15            3.3995        288.7995              14 
2018-07-17 08:34:30            3.9595         284.999              14 
2018-07-17 08:34:45            3.5695         284.097              14 
2018-07-17 08:35:00            3.3295         290.796         14.0992 
2018-07-17 08:35:15            3.0995         283.096              14 
2018-07-17 08:35:30            3.5395         286.198         14.0992 
2018-07-17 08:35:45            3.5495        281.0995              14 
2018-07-17 08:36:00            3.1695         283.899         14.0992 
2018-07-17 08:36:15            3.1495         285.197         14.0992 
2018-07-17 08:36:30            3.0695         291.599            14.2 
2018-07-17 08:36:45            3.4695        282.2985         14.0992 
2018-07-17 08:37:00            2.7895         300.696         14.4992 
2018-07-17 08:37:15            3.6295         286.396         14.2992 
2018-07-17 08:37:30            3.1195        295.4985         14.2992 
2018-07-17 08:37:45            3.0095        291.0985            14.2 
2018-07-17 08:38:00            2.7195        300.1955            14.6 
2018-07-17 08:38:15            3.1095         284.295         14.4992 
2018-07-17 08:38:30            3.2795        287.6995         14.2992 
2018-07-17 08:38:45            3.2895        286.9955         14.4992 
2018-07-17 08:39:00            3.6795        287.7985            14.2 
2018-07-17 08:39:15            3.2595         298.496            14.4 
2018-07-17 08:39:30            3.0395        287.6995         14.4992 
2018-07-17 08:39:45            3.2795        285.5985            14.8 
2018-07-17 08:40:00            3.2395         305.998            14.6 
2018-07-17 08:40:15            3.4995         307.395            14.4 
2018-07-17 08:40:30            3.2195         286.495         14.6992 
2018-07-17 08:40:45            3.4495        302.3955            14.8 
2018-07-17 08:41:00            3.3795         297.099            14.4 
2018-07-17 08:41:15            3.3195         306.097         14.2992 
2018-07-17 08:41:30            3.3495        295.4985         14.4992 
2018-07-17 08:41:45            3.4695        303.3965            14.6 
2018-07-17 08:42:00            3.7795        301.0975         14.4992 
2018-07-17 08:42:15            3.9495        292.5945         14.4992 
2018-07-17 08:42:30            3.6295        297.5995         14.4992 
2018-07-17 08:42:45            3.7095         296.296            14.6 
2018-07-17 08:43:00            3.1995           295.9         14.6992 
2018-07-17 08:43:15            4.0795        288.1945         14.6992 
2018-07-17 08:43:30            3.9895         294.195            14.6 
2018-07-17 08:43:45            3.5395         302.797         14.6992 
2018-07-17 08:44:00            3.4195        296.4995            14.8 
2018-07-17 08:44:15            3.1995         301.598              15 
2018-07-17 08:44:30            3.5195           301.4            15.2 
2018-07-17 08:44:45            3.5595         311.597              15 
2018-07-17 08:45:00            3.5295        302.0985            14.8 
2018-07-17 08:45:15            3.4595         303.996         14.8992 
2018-07-17 08:45:30            3.2995         302.797            14.8 
2018-07-17 08:45:45            3.2895         304.095         14.8992 
2018-07-17 08:46:00            2.9895        284.7955         15.2992 
