DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[° 
2018-07-17 13:59:15            1.5195          62.799            26.6 
2018-07-17 13:59:30            4.3295            16.5         25.0992 
2018-07-17 13:59:45            3.5095         36.8995         24.0992 
2018-07-17 14:00:00            2.7695            31.9         24.0992 
2018-07-17 14:00:15            3.6295         19.6955            24.4 
2018-07-17 14:00:30            4.2095         354.398         25.0992 
2018-07-17 14:00:45            4.4195           4.499            24.8 
2018-07-17 14:01:00            4.8395          12.199         24.0992 
2018-07-17 14:01:15            5.1195        355.0965            24.4 
2018-07-17 14:01:30            5.2095        358.4955         23.8992 
2018-07-17 14:01:45            4.0595           4.697         23.6992 
2018-07-17 14:02:00            3.6695         346.599         23.8992 
2018-07-17 14:02:15            4.3595          5.1975            24.2 
2018-07-17 14:02:30                 5          6.2975         23.5984 
2018-07-17 14:02:45            3.9095           0.495         23.5984 
2018-07-17 14:03:00            3.5695         359.799            23.8 
2018-07-17 14:03:15            3.3495           3.795         23.6992 
2018-07-17 14:03:30            2.3895          15.499         24.0992 
2018-07-17 14:03:45            2.6295           0.099         24.5984 
2018-07-17 14:04:00            3.2495         348.898         23.8992 
2018-07-17 14:04:15            3.7095         342.595         24.5984 
2018-07-17 14:04:30            2.3795         338.998              24 
2018-07-17 14:04:45            3.1695         339.196         24.2992 
2018-07-17 14:05:00            3.3495         341.495              24 
2018-07-17 14:05:15            3.1995         20.3995         24.6992 
2018-07-17 14:05:30            1.6395        356.9995         25.6992 
2018-07-17 14:05:45            2.1395           9.999         25.2992 
2018-07-17 14:06:00            1.8595         348.997         24.6992 
2018-07-17 14:06:15            2.3795          0.5995         24.4992 
2018-07-17 14:06:30            1.3895         25.9985            24.8 
2018-07-17 14:06:45            2.4895          55.297            25.4 
2018-07-17 14:07:00            3.9495         37.0975         24.4992 
2018-07-17 14:07:15            3.7395          73.095            24.4 
2018-07-17 14:07:30            2.9295         90.0955         23.8992 
2018-07-17 14:07:45            2.8495          79.596         24.0992 
2018-07-17 14:08:00            1.9695          73.997         24.4992 
2018-07-17 14:08:15            2.4395         73.2985         24.5984 
2018-07-17 14:08:30            2.3795         79.0955              25 
2018-07-17 14:08:45            2.1795            41.8              25 
2018-07-17 14:09:00            2.3795         46.1945         25.0992 
2018-07-17 14:09:15            1.7495          26.499              25 
2018-07-17 14:09:30            3.4095         78.8975            26.2 
2018-07-17 14:09:45            2.3695         79.7995         25.5984 
2018-07-17 14:10:00              2.26         74.7945            26.4 
2018-07-17 14:10:15            2.7795         20.6965         24.5984 
2018-07-17 14:10:30            3.3395         28.2975            24.2 
2018-07-17 14:10:45            2.7895            58.3         24.0992 
