DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d   3._Air_T_[°C] 
2018-07-17 12:35:15            2.5595         351.296         22.6992 
2018-07-17 12:35:30            2.6295           4.697         21.5984 
2018-07-17 12:35:45            2.4495          1.0945         21.8992 
2018-07-17 12:36:00            2.0095        355.8995              22 
2018-07-17 12:36:15            1.3595        352.9955         22.2992 
2018-07-17 12:36:30            1.0695        300.8995            22.4 
2018-07-17 12:36:45         0.8995001        304.4965         22.2992 
2018-07-17 12:37:00            1.2095        334.9995         22.6992 
2018-07-17 12:37:15         0.7295001        315.3975         22.6992 
2018-07-17 12:37:30            0.5695         268.499         22.5984 
2018-07-17 12:37:45            0.9895         172.799         22.4992 
2018-07-17 12:38:00            1.1595         60.3955              22 
2018-07-17 12:38:15            1.4295          31.999            22.4 
2018-07-17 12:38:30            1.8195         31.7955         22.2992 
2018-07-17 12:38:45            1.4095         45.8975         22.4992 
2018-07-17 12:39:00            1.2595         26.2955            22.2 
2018-07-17 12:39:15            1.9695         32.4995              22 
2018-07-17 12:39:30            1.3095         40.1995         22.0992 
2018-07-17 12:39:45            2.5695         16.0985         22.0992 
2018-07-17 12:40:00            2.0295         347.897         21.8992 
2018-07-17 12:40:15            2.1795         13.8985            22.2 
2018-07-17 12:40:30            1.2195         346.599         22.0992 
2018-07-17 12:40:45            1.6795         345.598            22.4 
2018-07-17 12:41:00            1.2895         21.8955            22.4 
2018-07-17 12:41:15            1.2395         35.1945         22.4992 
2018-07-17 12:41:30            1.1695         357.896            22.4 
2018-07-17 12:41:45              2.25         342.298         21.8992 
2018-07-17 12:42:00            1.9795         353.595         21.6992 
2018-07-17 12:42:15            3.1095        340.6975         21.8992 
2018-07-17 12:42:30            3.5495        340.7965         22.2992 
2018-07-17 12:42:45            2.4095        326.3975         22.0992 
2018-07-17 12:43:00            1.6795        342.6995         22.0992 
2018-07-17 12:43:15            1.9795        304.3975         22.2992 
2018-07-17 12:43:30            1.8895        343.7995         22.2992 
2018-07-17 12:43:45            2.4195         319.495            22.4 
2018-07-17 12:44:00            2.4595        326.2985            21.8 
2018-07-17 12:44:15            1.8995         323.598         21.8992 
2018-07-17 12:44:30            1.3795           327.8              22 
2018-07-17 12:44:45            1.3895         267.597         22.2992 
2018-07-17 12:45:00            1.0895         299.497            22.4 
2018-07-17 12:45:15            1.7695         11.8965            22.4 
2018-07-17 12:45:30         0.9595001           3.498            22.4 
2018-07-17 12:45:45         0.7895001          49.896         22.4992 
2018-07-17 12:46:00            1.1095         14.1955         22.5984 
2018-07-17 12:46:15            1.0195         12.9965         22.4992 
2018-07-17 12:46:30         0.9795001          35.398         22.5984 
2018-07-17 12:46:45            1.1795          29.799         22.8992 
