DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[° 
2018-07-17 15:44:45            2.0395        260.1995         25.2992 
2018-07-17 15:45:00            2.2995         281.699            25.2 
2018-07-17 15:45:15            2.8495         268.499         25.0992 
2018-07-17 15:45:30            2.9995         260.997              25 
2018-07-17 15:45:45            2.7195        256.0965            25.2 
2018-07-17 15:46:00            3.2495        268.0975              25 
2018-07-17 15:46:15            3.3695        265.0945              25 
2018-07-17 15:46:30            3.7995         275.495         24.8992 
2018-07-17 15:46:45            3.6095        263.6975         24.6992 
2018-07-17 15:47:00            3.6395        264.8965         24.8992 
2018-07-17 15:47:15            4.0195         267.795              25 
2018-07-17 15:47:30            4.6395         265.496            24.8 
2018-07-17 15:47:45            4.5395         268.796         24.6992 
2018-07-17 15:48:00            4.5295        262.6965         24.6992 
2018-07-17 15:48:15            4.6595        263.8955         24.5984 
2018-07-17 15:48:30            4.5095        259.1985         24.5984 
2018-07-17 15:48:45            4.6495        260.4965            24.4 
2018-07-17 15:49:00            4.4495        260.2985         24.4992 
2018-07-17 15:49:15            4.8595        261.5965         24.4992 
2018-07-17 15:49:30            5.3895         260.799         24.4992 
2018-07-17 15:49:45            5.1195        263.7965         24.4992 
2018-07-17 15:50:00            5.8995        261.4975            24.2 
2018-07-17 15:50:15            7.6395        261.7945         23.6992 
2018-07-17 15:50:30          6.969501        270.5945         23.4992 
2018-07-17 15:50:45            6.6195        263.5985            22.8 
2018-07-17 15:51:00            8.5495         256.399         22.6992 
2018-07-17 15:51:15          8.469501        261.4975         22.5984 
2018-07-17 15:51:30            7.8595             253         22.4992 
2018-07-17 15:51:45            6.6395         254.397            22.4 
2018-07-17 15:52:00            7.1195         262.097            22.4 
2018-07-17 15:52:15            7.1595        266.1945         22.4992 
2018-07-17 15:52:30            7.3495         265.595         22.4992 
2018-07-17 15:52:45            7.1695        261.7945            22.2 
2018-07-17 15:53:00            6.1695         262.999         22.0992 
