DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d   3._Air_T_[°C] 
2018-07-14 16:42:15            2.8395        126.0985            26.4 
2018-07-14 16:42:30            3.2695         158.499         26.0992 
2018-07-14 16:42:45            2.9095        165.7975              26 
2018-07-14 16:43:00            2.6795         161.799         26.4992 
2018-07-14 16:43:15            3.0795         159.698         25.8992 
2018-07-14 16:43:30            2.9995        154.6985              26 
2018-07-14 16:43:45            3.0495         163.097              26 
2018-07-14 16:44:00            2.6895             154         25.8992 
2018-07-14 16:44:15            3.3195         156.497              26 
2018-07-14 16:44:30            2.8795         147.697         25.8992 
2018-07-14 16:44:45            2.9695         153.296         25.8992 
2018-07-14 16:45:00            3.0195        151.7945              26 
2018-07-14 16:45:15            2.0995         133.496         25.8992 
2018-07-14 16:45:30            2.3695         147.697              26 
2018-07-14 16:45:45            1.7895             110         26.2992 
2018-07-14 16:46:00            2.6295         151.899         26.2992 
2018-07-14 16:46:15            2.7395         155.496              26 
2018-07-14 16:46:30            2.4395        154.7975            26.2 
2018-07-14 16:46:45            2.3995         160.897         26.0992 
2018-07-14 16:47:00            2.7795        162.2995         25.8992 
2018-07-14 16:47:15            2.7795        132.9955              26 
2018-07-14 16:47:30            2.3695        116.4955            26.2 
2018-07-14 16:47:45            1.9595         143.099         26.0992 
2018-07-14 16:48:00            1.4995        139.1995            26.2 
2018-07-14 16:48:15            2.6595         155.595         26.0992 
2018-07-14 16:48:30            2.7795        134.9975         26.0992 
2018-07-14 16:48:45            2.0795        138.2975              26 
2018-07-14 16:49:00            2.2095        140.7945         25.8992 
2018-07-14 16:49:15            2.5295        143.9955         26.0992 
2018-07-14 16:49:30            2.8795        156.8985         26.0992 
2018-07-14 16:49:45            2.7895         158.796            25.8 
2018-07-14 16:50:00            2.1195         158.895         25.6992 
2018-07-14 16:50:15            1.9095        153.8955         25.8992 
2018-07-14 16:50:30            2.6695         160.798            25.8 
2018-07-14 16:50:45              2.25        150.3975              26 
2018-07-14 16:51:00            1.7795         155.199            26.4 
2018-07-14 16:51:15            1.9995         183.898            26.2 
2018-07-14 16:51:30            2.5595         153.098            25.8 
2018-07-14 16:51:45            2.1695        153.5985         26.2992 
2018-07-14 16:52:00            1.7895         156.299         26.2992 
2018-07-14 16:52:15            1.4995         147.697            26.4 
2018-07-14 16:52:30            1.1195         150.997            26.6 
